Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/DEPENDENCIES_VALIDATED'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/INSTALLATION_COMPLETE'
 178, 238, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/MEIPreload/manifest.json'
 6981, 8254, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/MEIPreload/preloaded_data.pb'
 107, 122, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/PrivacySandboxAttestationsPreloaded/manifest.json'
 2583, 7624, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/PrivacySandboxAttestationsPreloaded/privacy-sandbox-attestations.dat'
 747524, 775905, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_100_percent.pak'
 1235997, 1282992, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_200_percent.pak'
 4578126, 10467680, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/icudtl.dat'
 197907, 610887, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af.pak'
 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_FEMININE.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_FEMININE.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_MASCULINE.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_MASCULINE.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_NEUTER.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/af_NEUTER.pak.info'
 238102, 983111, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am.pak'
 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_FEMININE.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_FEMININE.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_MASCULINE.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_MASCULINE.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_NEUTER.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/am_NEUTER.pak.info'
 242797, 1086964, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar.pak'
 135542, 1246717, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_FEMININE.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_FEMININE.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_MASCULINE.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_MASCULINE.pak.info'
 18, 18, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_NEUTER.pak'
 8, 0, 1, 'x', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/locales/ar_NEUTER.pak.info'
